Wavelength (nm),EQE1,Wavelength (nm),EQE2,Wavelength (nm),EQE3
309.0909091,0.9395292208,304.7619048,16.95852535,306.5404395,2.008617628
319.3181818,5.664772727,308.5714286,18.61751152,320.2058655,5.428796466
328.4090909,13.60308442,312.3809524,20.2764977,329.5230962,13.22265293
338.6363636,23.04261364,315.2380952,21.38248848,338.8171611,22.63810598
348.8636364,52.625,317.1428571,22.48847926,349.5266482,52.97400812
360.2272727,57.56574675,319.047619,23.59447005,358.8925268,57.36251178
369.3181818,64.00405844,320,24.56221198,369.9402326,64.02310389
379.5454545,73.22930195,323.8095238,25.66820276,378.3794845,73.27547065
388.6363636,76.66761364,327.6190476,27.60368664,389.4781548,76.36855029
398.8636364,78.39285714,330.4761905,29.12442396,398.0239687,78.16157279
409.0909091,80.11810065,332.3809524,30.78341014,408.2886751,79.63212923
418.1818182,83.55641234,336.1904762,32.44239631,418.523266,83.21076122
428.4090909,84.42451299,337.1428571,33.82488479,427.940109,84.03175241
438.6363636,86.36404221,341.9047619,35.62211982,439.9121249,85.99064107
450,88.30478896,343.8095238,37.55760369,448.4533057,88.10798289
460.2272727,88.74431818,344.7619048,38.80184332,458.7365446,88.28126207
469.3181818,86.18262987,346.6666667,39.9078341,469.054532,86.02214638
480.6818182,82.98051948,346.6666667,40.59907834,478.524656,83.11346543
490.9090909,81.49147727,348.5714286,41.56682028,488.8380102,81.17866906
500,78.50121753,350.4761905,43.0875576,498.3081342,78.26998811
509.0909091,75.08238636,354.2857143,44.19354839,509.4948341,75.20100076
520.4545455,72.52313312,353.3333333,45.71428571,518.1147782,71.80491421
529.5454545,68.67573052,355.2380952,46.8202765,530.1632407,68.41253417
538.6363636,65.68547078,356.1904762,47.64976959,540.4928109,65.34262019
550,62.26907468,358.0952381,49.30875576,549.9745178,61.62314096
560.2272727,58.85146104,360,51.65898618,559.4400086,59.03877932
569.3181818,56.28977273,363.8095238,53.59447005,569.7695788,55.96886535
581.8181818,54.58887987,364.7619048,55.11520737,577.502278,54.67992772
590.9090909,53.31290584,366.6666667,57.05069124,590.3777548,53.39654986
600,54.17978896,369.5238095,58.43317972,598.9421013,53.8922951
610.2272727,52.90503247,370.4761905,60.50691244,609.2438727,52.76829701
621.5909091,35.56006494,370.4761905,62.02764977,618.8112925,43.04891044
630.6818182,11.14123377,374.2857143,64.23963134,628.8512919,60.24895368
640.9090909,3.009334416,376.1904762,66.58986175,639.8850983,67.88250375
650,1.519074675,379.047619,68.24884793,647.5645164,70.32323825
662.5,1.103896104,381.9047619,70.32258065,658.693302,71.30824234
672.7272727,1.32913961,388.5714286,73.0875576,669.815138,72.77972541
684.0909091,1.127029221,392.3809524,75.02304147,678.4049667,71.49171441
697.7272727,0.9273538961,396.1904762,76.68202765,687.8009606,73.77214252
705.6818182,0.7215909091,399.047619,78.06451613,697.2015876,75.7282513
714.7727273,0.7313311688,402.8571429,79.30875576,709.2060354,75.41690476
723.8636364,0.7410714286,406.6666667,80.41474654,718.6275115,75.91357662
731.8181818,0.7495941558,413.3333333,81.52073733,728.0513042,76.24808883
738.6363636,0.9711850649,419.047619,82.35023041,739.1986224,75.93581566
746.5909091,0.7654220779,424.7619048,83.31797235,749.5189263,73.51454032
754.5454545,0.7739448052,433.3333333,84.14746544,759.0770799,64.44379237
764.7727273,0.7849025974,440,84.42396313,769.7031706,40.6174422
772.7272727,0.7934253247,446.6666667,85.39170507,781.4898612,55.54910349
786.3636364,0.8080357143,449.5238095,86.22119816,789.0488178,66.4221402
794.3181818,0.8165584416,456.1904762,86.359447,799.2695094,70.97373014
803.4090909,0.8262987013,460.952381,86.6359447,811.2461584,72.60829949
813.6363636,0.8372564935,471.4285714,87.05069124,820.6630013,73.42929067
823.8636364,0.8482142857,478.0952381,87.74193548,829.2342975,73.43855693
834.0909091,0.8591720779,485.7142857,88.29493088,838.6812559,72.15147256
851.1363636,0.8774350649,489.5238095,88.70967742,848.9783942,71.35179379
840.9090909,1.080762987,494.2857143,89.95391705,858.4253525,70.06470943
863.6363636,1.105113636,500.952381,90.50691244,869.581937,69.10379762
876.1363636,0.4756493506,502.8571429,91.47465438,880.7524208,67.16992788
886.3636364,0.9151785714,506.6666667,92.02764977,890.2132786,64.90988556
895.4545455,0.2820616883,511.4285714,92.58064516,899.6139056,66.86599435
906.8181818,0.294237013,516.1904762,92.58064516,909.0539142,66.06538895
920.4545455,0.3088474026,523.8095238,92.85714286,920.1896496,66.56391407
932.9545455,0.9650974026,529.5238095,93.2718894,928.7493629,67.38397863
945.4545455,0.3356331169,536.1904762,93.82488479,938.187055,66.74553289
956.8181818,0.3478084416,539.047619,94.51612903,950.2123519,64.97474942
,,541.9047619,94.10138249,958.8415623,60.93002425
,,545.7142857,93.82488479,968.3765502,53.48087288
,,551.4285714,93.68663594,981.4141867,40.84631898
,,560,93.5483871,990.1267934,30.96384612
,,562.8571429,93.82488479,1000.544393,21.73186514
,,568.5714286,93.82488479,1010.035366,17.36374728
,,574.2857143,93.68663594,1020.404318,11.53711912
,,579.047619,93.2718894,1029.897608,7.006841593
,,587.6190476,93.2718894,1041.939121,4.100940526
,,602.8571429,93.13364055,1052.243209,2.814782783
,,612.3809524,92.99539171,1062.540347,2.015104014
,,619.047619,92.71889401,1081.401832,1.711170484
,,623.8095238,93.41013825,1092.546833,1.561056972
,,626.6666667,93.68663594,1102.832389,1.572176491
,,635.2380952,93.96313364,,
,,643.8095238,93.96313364,,
,,653.3333333,93.96313364,,
,,663.8095238,93.96313364,,
,,672.3809524,93.68663594,,
,,679.047619,93.68663594,,
,,685.7142857,93.82488479,,
,,694.2857143,93.68663594,,
,,702.8571429,93.2718894,,
,,707.6190476,93.68663594,,
,,713.3333333,94.10138249,,
,,723.8095238,94.10138249,,
,,727.6190476,93.82488479,,
,,739.047619,93.82488479,,
,,747.6190476,94.10138249,,
,,753.3333333,94.10138249,,
,,761.9047619,93.68663594,,
,,769.5238095,93.68663594,,
,,777.1428571,93.41013825,,
,,790.4761905,93.41013825,,
,,797.1428571,93.68663594,,
,,804.7619048,94.23963134,,
,,812.3809524,94.79262673,,
,,817.1428571,95.20737327,,
,,824.7619048,95.62211982,,
,,830.4761905,96.03686636,,
,,840,96.58986175,,
,,850.4761905,97.41935484,,
,,858.0952381,96.58986175,,
,,866.6666667,97.14285714,,
,,875.2380952,97.14285714,,
,,881.9047619,96.03686636,,
,,886.6666667,95.48387097,,
,,901.9047619,94.65437788,,
,,909.5238095,93.41013825,,
,,919.047619,92.99539171,,
,,930.4761905,92.58064516,,
,,936.1904762,92.44239631,,
,,943.8095238,92.30414747,,
,,950.4761905,92.30414747,,
,,958.0952381,92.16589862,,
,,963.8095238,91.75115207,,
,,976.1904762,91.61290323,,
,,985.7142857,91.33640553,,
,,993.3333333,91.61290323,,
,,1000,92.02764977,,
,,1009.52381,91.88940092,,
,,1013.333333,91.19815668,,
,,1017.142857,90.64516129,,
,,1020.952381,89.67741935,,
,,1026.666667,88.98617512,,
,,1029.52381,88.15668203,,
,,1032.380952,87.32718894,,
,,1034.285714,86.77419355,,
,,1035.238095,86.08294931,,
,,1039.047619,84.97695853,,
,,1043.809524,83.87096774,,
