# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 20.238, 84.270 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Kolkata, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Kolkata", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "20.2376", "lon": "84.27", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 05:30,0,0,0,8.751
2019-01-01 01:00,2019-01-01 06:30,0.124,0.105,0.043,9.705
2019-01-01 02:00,2019-01-01 07:30,0.389,0.367,0.080,13.609
2019-01-01 03:00,2019-01-01 08:30,0.586,0.612,0.091,16.325
2019-01-01 04:00,2019-01-01 09:30,0.708,0.792,0.098,19.655
2019-01-01 05:00,2019-01-01 10:30,0.773,0.899,0.103,21.582
2019-01-01 06:00,2019-01-01 11:30,0.786,0.925,0.106,22.626
2019-01-01 07:00,2019-01-01 12:30,0.749,0.868,0.105,23.138
2019-01-01 08:00,2019-01-01 13:30,0.659,0.734,0.102,23.187
2019-01-01 09:00,2019-01-01 14:30,0.511,0.529,0.096,22.770
2019-01-01 10:00,2019-01-01 15:30,0.295,0.269,0.082,21.487
2019-01-01 11:00,2019-01-01 16:30,0.052,0.048,0.025,17.674
2019-01-01 12:00,2019-01-01 17:30,0,0,0,15.713
2019-01-01 13:00,2019-01-01 18:30,0,0,0,15.073
2019-01-01 14:00,2019-01-01 19:30,0,0,0,14.581
2019-01-01 15:00,2019-01-01 20:30,0,0,0,13.937
2019-01-01 16:00,2019-01-01 21:30,0,0,0,13.317
2019-01-01 17:00,2019-01-01 22:30,0,0,0,12.808
2019-01-01 18:00,2019-01-01 23:30,0,0,0,12.301
2019-01-01 19:00,2019-01-02 00:30,0,0,0,11.792
2019-01-01 20:00,2019-01-02 01:30,0,0,0,11.384
2019-01-01 21:00,2019-01-02 02:30,0,0,0,11.281
2019-01-01 22:00,2019-01-02 03:30,0,0,0,11.027
2019-01-01 23:00,2019-01-02 04:30,0,0,0,10.595
2019-01-02 00:00,2019-01-02 05:30,0,0,0,10.330
2019-01-02 01:00,2019-01-02 06:30,0.126,0.108,0.043,10.672
2019-01-02 02:00,2019-01-02 07:30,0.389,0.368,0.080,14.160
2019-01-02 03:00,2019-01-02 08:30,0.584,0.610,0.092,17.012
2019-01-02 04:00,2019-01-02 09:30,0.703,0.787,0.100,20.383
2019-01-02 05:00,2019-01-02 10:30,0.767,0.891,0.106,22.132
2019-01-02 06:00,2019-01-02 11:30,0.777,0.909,0.110,23.157
2019-01-02 07:00,2019-01-02 12:30,0.739,0.851,0.110,23.742
2019-01-02 08:00,2019-01-02 13:30,0.649,0.717,0.107,23.773
2019-01-02 09:00,2019-01-02 14:30,0.498,0.507,0.102,23.308
2019-01-02 10:00,2019-01-02 15:30,0.280,0.248,0.086,21.774
2019-01-02 11:00,2019-01-02 16:30,0.049,0.044,0.025,17.861
2019-01-02 12:00,2019-01-02 17:30,0,0,0,15.821
2019-01-02 13:00,2019-01-02 18:30,0,0,0,15.353
2019-01-02 14:00,2019-01-02 19:30,0,0,0,14.926
