# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 23.416, 25.663 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Africa/Cairo, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Africa/Cairo", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "23.4162", "lon": "25.6628", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 02:00,0,0,0,5.121
2019-01-01 01:00,2019-01-01 03:00,0,0,0,4.868
2019-01-01 02:00,2019-01-01 04:00,0,0,0,4.625
2019-01-01 03:00,2019-01-01 05:00,0,0,0,4.141
2019-01-01 04:00,2019-01-01 06:00,0,0,0,4.041
2019-01-01 05:00,2019-01-01 07:00,0.035,0.013,0.037,5.243
2019-01-01 06:00,2019-01-01 08:00,0.114,0.026,0.111,7.639
2019-01-01 07:00,2019-01-01 09:00,0.266,0.094,0.206,9.637
2019-01-01 08:00,2019-01-01 10:00,0.369,0.158,0.261,11.612
2019-01-01 09:00,2019-01-01 11:00,0.482,0.263,0.292,12.519
2019-01-01 10:00,2019-01-01 12:00,0.377,0.132,0.298,12.678
2019-01-01 11:00,2019-01-01 13:00,0.298,0.074,0.266,12.535
2019-01-01 12:00,2019-01-01 14:00,0.226,0.047,0.213,12.259
2019-01-01 13:00,2019-01-01 15:00,0.187,0.049,0.168,11.999
2019-01-01 14:00,2019-01-01 16:00,0.096,0.028,0.090,11.302
2019-01-01 15:00,2019-01-01 17:00,0.005,0.003,0.012,8.958
2019-01-01 16:00,2019-01-01 18:00,0,0,0,7.755
2019-01-01 17:00,2019-01-01 19:00,0,0,0,7.130
2019-01-01 18:00,2019-01-01 20:00,0,0,0,6.466
2019-01-01 19:00,2019-01-01 21:00,0,0,0,5.788
2019-01-01 20:00,2019-01-01 22:00,0,0,0,5.116
2019-01-01 21:00,2019-01-01 23:00,0,0,0,4.502
2019-01-01 22:00,2019-01-02 00:00,0,0,0,4.313
2019-01-01 23:00,2019-01-02 01:00,0,0,0,4.347
2019-01-02 00:00,2019-01-02 02:00,0,0,0,4.122
2019-01-02 01:00,2019-01-02 03:00,0,0,0,3.819
2019-01-02 02:00,2019-01-02 04:00,0,0,0,2.893
2019-01-02 03:00,2019-01-02 05:00,0,0,0,2.056
2019-01-02 04:00,2019-01-02 06:00,0,0,0,1.721
2019-01-02 05:00,2019-01-02 07:00,0.197,0.186,0.033,2.692
2019-01-02 06:00,2019-01-02 08:00,0.476,0.478,0.053,6.144
2019-01-02 07:00,2019-01-02 09:00,0.668,0.719,0.063,8.980
2019-01-02 08:00,2019-01-02 10:00,0.791,0.898,0.070,11.186
2019-01-02 09:00,2019-01-02 11:00,0.857,1.001,0.074,12.320
2019-01-02 10:00,2019-01-02 12:00,0.867,1.023,0.075,13.090
2019-01-02 11:00,2019-01-02 13:00,0.825,0.960,0.074,13.538
2019-01-02 12:00,2019-01-02 14:00,0.728,0.819,0.069,13.627
2019-01-02 13:00,2019-01-02 15:00,0.569,0.606,0.062,13.191
2019-01-02 14:00,2019-01-02 16:00,0.329,0.322,0.052,12.036
2019-01-02 15:00,2019-01-02 17:00,0.031,0.034,0.013,8.577
2019-01-02 16:00,2019-01-02 18:00,0,0,0,6.355
2019-01-02 17:00,2019-01-02 19:00,0,0,0,5.253
2019-01-02 18:00,2019-01-02 20:00,0,0,0,4.316
2019-01-02 19:00,2019-01-02 21:00,0,0,0,3.564
2019-01-02 20:00,2019-01-02 22:00,0,0,0,2.959
2019-01-02 21:00,2019-01-02 23:00,0,0,0,2.468
2019-01-02 22:00,2019-01-03 00:00,0,0,0,2.068
2019-01-02 23:00,2019-01-03 01:00,0,0,0,1.729
2019-01-03 00:00,2019-01-03 02:00,0,0,0,1.420
2019-01-03 01:00,2019-01-03 03:00,0,0,0,1.131
2019-01-03 02:00,2019-01-03 04:00,0,0,0,0.851
2019-01-03 03:00,2019-01-03 05:00,0,0,0,0.574
2019-01-03 04:00,2019-01-03 06:00,0,0,0,0.332
