# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 51.752, -1.258 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/London"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""unknown"""," ""irradiance_diffuse"": ""unknown"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""51.7520131"""," ""lon"": ""-1.2578499"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,GHI,DHI,,,,,,,,,,,
01/01/2019 0:00,01/01/2019 0:00,0,0,0,5.954,0,0,,,,,,,,,,,
01/01/2019 1:00,01/01/2019 1:00,0,0,0,5.833,0,0,,,,,,,,,,,
01/01/2019 2:00,01/01/2019 2:00,0,0,0,5.701,0,0,,,,,,,,,,,
01/01/2019 3:00,01/01/2019 3:00,0,0,0,5.941,0,0,,,,,,,,,,,
01/01/2019 4:00,01/01/2019 4:00,0,0,0,6.217,0,0,,,,,,,,,,,
01/01/2019 5:00,01/01/2019 5:00,0,0,0,6.355,0,0,,,,,,,,,,,
01/01/2019 6:00,01/01/2019 6:00,0,0,0,6.457,0,0,,,,,,,,,,,
01/01/2019 7:00,01/01/2019 7:00,0,0,0,6.526,0,0,,,,,,,,,,,
01/01/2019 8:00,01/01/2019 8:00,0,0.001,0.004,6.723,0.005,0.001,,,,,,,,,,,
01/01/2019 9:00,01/01/2019 9:00,0.021,0.005,0.031,7.184,0.036,0.005,,,,,,,,,,,
01/01/2019 10:00,01/01/2019 10:00,0.052,0.01,0.06,7.85,0.07,0.01,,,,,,,,,,,
01/01/2019 11:00,01/01/2019 11:00,0.099,0.027,0.094,8.599,0.121,0.027,,,,,,,,,,,
01/01/2019 12:00,01/01/2019 12:00,0.122,0.042,0.104,9.119,0.146,0.042,,,,,,,,,,,
01/01/2019 13:00,01/01/2019 13:00,0.141,0.067,0.099,9.258,0.166,0.067,,,,,,,,,,,
01/01/2019 14:00,01/01/2019 14:00,0.088,0.045,0.065,8.793,0.11,0.045,,,,,,,,,,,
01/01/2019 15:00,01/01/2019 15:00,0.024,0.02,0.019,7.247,0.039,0.02,,,,,,,,,,,
01/01/2019 16:00,01/01/2019 16:00,0,0,0,5.381,0,0,,,,,,,,,,,
01/01/2019 17:00,01/01/2019 17:00,0,0,0,4,0,0,,,,,,,,,,,
01/01/2019 18:00,01/01/2019 18:00,0,0,0,3.116,0,0,,,,,,,,,,,
01/01/2019 19:00,01/01/2019 19:00,0,0,0,2.383,0,0,,,,,,,,,,,
01/01/2019 20:00,01/01/2019 20:00,0,0,0,1.848,0,0,,,,,,,,,,,
01/01/2019 21:00,01/01/2019 21:00,0,0,0,1.795,0,0,,,,,,,,,,,
01/01/2019 22:00,01/01/2019 22:00,0,0,0,1.973,0,0,,,,,,,,,,,
01/01/2019 23:00,01/01/2019 23:00,0,0,0,1.908,0,0,,,,,,,,,,,
02/01/2019 0:00,02/01/2019 0:00,0,0,0,1.059,0,0,,,,,,,,,,,
02/01/2019 1:00,02/01/2019 1:00,0,0,0,0.494,0,0,,,,,,,,,,,
02/01/2019 2:00,02/01/2019 2:00,0,0,0,0.119,0,0,,,,,,,,,,,
02/01/2019 3:00,02/01/2019 3:00,0,0,0,-0.131,0,0,,,,,,,,,,,
02/01/2019 4:00,02/01/2019 4:00,0,0,0,-0.595,0,0,,,,,,,,,,,
02/01/2019 5:00,02/01/2019 5:00,0,0,0,-0.93,0,0,,,,,,,,,,,
02/01/2019 6:00,02/01/2019 6:00,0,0,0,-1.283,0,0,,,,,,,,,,,
02/01/2019 7:00,02/01/2019 7:00,0,0,0,-1.703,0,0,,,,,,,,,,,
02/01/2019 8:00,02/01/2019 8:00,0.031,0.033,0.013,-1.787,0.046,0.033,,,,,,,,,,,
02/01/2019 9:00,02/01/2019 9:00,0.221,0.188,0.052,-0.23,0.24,0.188,,,,,,,,,,,
02/01/2019 10:00,02/01/2019 10:00,0.403,0.369,0.067,1.009,0.436,0.369,,,,,,,,,,,
02/01/2019 11:00,02/01/2019 11:00,0.45,0.414,0.077,2.376,0.491,0.414,,,,,,,,,,,
02/01/2019 12:00,02/01/2019 12:00,0.43,0.391,0.082,4.058,0.473,0.391,,,,,,,,,,,
02/01/2019 13:00,02/01/2019 13:00,0.345,0.3,0.078,4.576,0.378,0.3,,,,,,,,,,,
02/01/2019 14:00,02/01/2019 14:00,0.203,0.166,0.061,4.047,0.227,0.166,,,,,,,,,,,
02/01/2019 15:00,02/01/2019 15:00,0.05,0.047,0.02,1.977,0.067,0.047,,,,,,,,,,,
02/01/2019 16:00,02/01/2019 16:00,0,0,0,0.707,0,0,,,,,,,,,,,
02/01/2019 17:00,02/01/2019 17:00,0,0,0,0.487,0,0,,,,,,,,,,,
02/01/2019 18:00,02/01/2019 18:00,0,0,0,0.379,0,0,,,,,,,,,,,
02/01/2019 19:00,02/01/2019 19:00,0,0,0,0.377,0,0,,,,,,,,,,,
02/01/2019 20:00,02/01/2019 20:00,0,0,0,0.443,0,0,,,,,,,,,,,
02/01/2019 21:00,02/01/2019 21:00,0,0,0,0.423,0,0,,,,,,,,,,,
02/01/2019 22:00,02/01/2019 22:00,0,0,0,0.172,0,0,,,,,,,,,,,
02/01/2019 23:00,02/01/2019 23:00,0,0,0,-0.168,0,0,,,,,,,,,,,
03/01/2019 0:00,03/01/2019 0:00,0,0,0,-0.402,0,0,,,,,,,,,,,
03/01/2019 1:00,03/01/2019 1:00,0,0,0,-0.572,0,0,,,,,,,,,,,
03/01/2019 2:00,03/01/2019 2:00,0,0,0,-0.759,0,0,,,,,,,,,,,
03/01/2019 3:00,03/01/2019 3:00,0,0,0,-0.894,0,0,,,,,,,,,,,
03/01/2019 4:00,03/01/2019 4:00,0,0,0,-0.842,0,0,,,,,,,,,,,
03/01/2019 5:00,03/01/2019 5:00,0,0,0,-0.799,0,0,,,,,,,,,,,
03/01/2019 6:00,03/01/2019 6:00,0,0,0,-0.753,0,0,,,,,,,,,,,
03/01/2019 7:00,03/01/2019 7:00,0,0,0,-0.64,0,0,,,,,,,,,,,
