# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 51.752, -1.258 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/London", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "51.7520131", "lon": "-1.2578499", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 00:00,0,0,0,5.954
2019-01-01 01:00,2019-01-01 01:00,0,0,0,5.833
2019-01-01 02:00,2019-01-01 02:00,0,0,0,5.701
2019-01-01 03:00,2019-01-01 03:00,0,0,0,5.941
2019-01-01 04:00,2019-01-01 04:00,0,0,0,6.217
2019-01-01 05:00,2019-01-01 05:00,0,0,0,6.355
2019-01-01 06:00,2019-01-01 06:00,0,0,0,6.457
2019-01-01 07:00,2019-01-01 07:00,0,0,0,6.526
2019-01-01 08:00,2019-01-01 08:00,0,0.001,0.004,6.723
2019-01-01 09:00,2019-01-01 09:00,0.021,0.005,0.031,7.184
2019-01-01 10:00,2019-01-01 10:00,0.052,0.010,0.060,7.850
2019-01-01 11:00,2019-01-01 11:00,0.099,0.027,0.094,8.599
2019-01-01 12:00,2019-01-01 12:00,0.122,0.042,0.104,9.119
2019-01-01 13:00,2019-01-01 13:00,0.141,0.067,0.099,9.258
2019-01-01 14:00,2019-01-01 14:00,0.088,0.045,0.065,8.793
2019-01-01 15:00,2019-01-01 15:00,0.024,0.020,0.019,7.247
2019-01-01 16:00,2019-01-01 16:00,0,0,0,5.381
2019-01-01 17:00,2019-01-01 17:00,0,0,0,4.000
2019-01-01 18:00,2019-01-01 18:00,0,0,0,3.116
2019-01-01 19:00,2019-01-01 19:00,0,0,0,2.383
2019-01-01 20:00,2019-01-01 20:00,0,0,0,1.848
2019-01-01 21:00,2019-01-01 21:00,0,0,0,1.795
2019-01-01 22:00,2019-01-01 22:00,0,0,0,1.973
2019-01-01 23:00,2019-01-01 23:00,0,0,0,1.908
2019-01-02 00:00,2019-01-02 00:00,0,0,0,1.059
2019-01-02 01:00,2019-01-02 01:00,0,0,0,0.494
2019-01-02 02:00,2019-01-02 02:00,0,0,0,0.119
2019-01-02 03:00,2019-01-02 03:00,0,0,0,-0.131
2019-01-02 04:00,2019-01-02 04:00,0,0,0,-0.595
2019-01-02 05:00,2019-01-02 05:00,0,0,0,-0.930
2019-01-02 06:00,2019-01-02 06:00,0,0,0,-1.283
2019-01-02 07:00,2019-01-02 07:00,0,0,0,-1.703
2019-01-02 08:00,2019-01-02 08:00,0.031,0.033,0.013,-1.787
2019-01-02 09:00,2019-01-02 09:00,0.221,0.188,0.052,-0.230
2019-01-02 10:00,2019-01-02 10:00,0.403,0.369,0.067,1.009
